SentenceID	pos_tags	position	tokens
82	[49 22 30 40 43  7]	['0' '1' '2' '3' '4' '5']	['How' 'could' 'it' 'have' 'failed' '?']
272	"[26 23 16 26 16 24 29 17 24 24 24 10 26 16 12 24 29 24 24 41 18 23 16 23
  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24']"	"['Talks' 'today' 'between' 'supporters' 'of' 'Yugoslavia' ""'s"" 'new'
 'President' 'Vojislav' 'Kostunica' 'and' 'members' 'of' 'the' 'Milosevic'
 ""'s"" 'Socialist' 'Party' 'yielded' 'more' 'heat' 'than' 'light' '.']"
151	"[16 17 23  6 24 24 41 12 17 23  8 30 41 12 23 23  6 16 12 16 12 26 42 38
 40 12 23 26 16 12 23 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32']"	"['After' 'thorough' 'consideration' ',' 'Zheng' 'Bing' 'made' 'a'
 'surprising' 'decision' ';' 'she' 'donated' 'the' 'fertilizer' 'store'
 ',' 'with' 'all' 'of' 'the' 'profits' 'going' 'to' 'pay' 'the' 'activity'
 'expenses' 'of' 'the' 'peasant' 'association' '.']"
182	[30 41 16 12 23  7]	['0' '1' '2' '3' '4' '5']	['I' 'persisted' 'for' 'a' 'month' '.']
83	"[33 12 11 23  6 12 23 16 12 23 23 41 38 40 30 16 23  6 30 41  6 30 22 40
 30 36  6 10 30 41 47 30 41 17 16 30 22 40 23 16  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37' '38' '39' '40']"	"['So' 'the' '150,000' 'yuan' ',' 'the' 'head' 'of' 'the' 'credit' 'union'
 'wanted' 'to' 'take' 'me' 'to' 'court' ',' 'he' 'said' ',' 'I' 'should'
 'pay' 'it' 'back' ',' 'and' 'I' 'said' 'what' 'I' 'was' 'responsible'
 'for' 'I' 'would' 'take' 'care' 'of' '.']"
260	[30 44 38 33 40 30  7]	['0' '1' '2' '3' '4' '5' '6']	['You' 'have' 'to' 'constantly' 'challenge' 'yourself' '.']
50	[33 30 44 30 38 40 26 16 42 23 33  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11']	"['Then' 'I' 'got' 'them' 'to' 'bring' 'peasants' 'from' 'surrounding'
 'area' 'altogether' '.']"
54	[12 23 41 36 16 33 16 11 16 12 23 16 11 16 12 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['The' 'class' 'went' 'on' 'from' 'just' 'after' '10' 'in' 'the' 'morning'
 'until' 'five' 'in' 'the' 'afternoon' '.']"
122	[10 49 22 30 40 12 16 42 12 17 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11']	"['And' 'how' 'could' 'I' 'keep' 'this' 'from' 'having' 'a' 'negative'
 'impact' '?']"
5	[30 33 41 11 26 16 16 12 23 23 38 33 40 16 23 23 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['It' 'also' 'squeezed' '200,000' 'yuan' 'out' 'of' 'the' 'education'
 'fund' 'to' 'specially' 'use' 'in' 'education' 'disaster' 'relief' '.']"
275	[24  6 47 44 30 40 16 12 24 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10']	['Nenad' ',' 'what' 'do' 'we' 'know' 'of' 'this' 'Milosevic' 'ally' '?']
71	"[49 30 41 16 31 17 23  6 30 41  6 39  6 12 17 23 45 28 12 17 26  6 30 22
 38 40 26 16 12 26  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30']"	"['When' 'I' 'went' 'to' 'our' 'agricultural' 'bureau' ',' 'I' 'thought'
 ',' 'huh' ',' 'the' 'agricultural' 'bureau' 'has' 'all' 'those'
 'technical' 'personnel' ',' 'they' 'ought' 'to' 'provide' 'services' 'to'
 'the' 'peasants' '.']"
18	[30 41 18 16 11  8 16 30 41 17  6 17 11 23 26 41 12 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18']"	"['They' 'invested' 'more' 'than' '400,000' ';' 'although' 'they' 'were'
 'poor' ',' 'several' 'hundred' 'family' 'heads' 'made' 'a' 'ruckus' '.']"
213	[33 30 45 17 38 40 12 23  6 12 23 38 40  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13']	"['So' 'it' ""'s"" 'possible' 'to' 'convince' 'every' 'family' ',' 'every'
 'household' 'to' 'mobilize' '.']"
184	[16 12 23 16 26 29 26  6 12 23 16 26 16 24 24 41 43  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['After' 'a' 'series' 'of' 'women' ""'s"" 'activities' ',' 'the' 'spirit'
 'of' 'villagers' 'in' 'Zhaizi' 'Village' 'had' 'changed' '.']"
218	[12 26 44 43 16 12 23 45 43 16 12 26 29 26 16 17 26  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['The' 'peasants' 'have' 'seen' 'that' 'the' 'association' 'has'
 'safeguarded' 'for' 'the' 'peasants' ""'"" 'interests' 'at' 'crucial'
 'times' '.']"
238	[12 23 45 33 17  7]	['0' '1' '2' '3' '4' '5']	['That' 'way' 'is' 'too' 'arbitrary' '.']
128	[33  6 16 12 23 16 12 23  6  6 30 22 40 36 12 26  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['Then' ',' 'at' 'the' 'end' 'of' 'the' 'year' ',' ',' 'we' ""'ll"" 'settle'
 'up' 'the' 'differences' '.']"
2	"[16 12 23 10 12 26 16 12 23 23 33 41 12 23 16 12 33 15 17 23 38 40 30  6
 33  6 19 16 12 23 23 29 17 10 17 26 44 43 16 17  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37' '38' '39' '40']"	"['After' 'the' 'government' 'and' 'the' 'people' 'in' 'the' 'disaster'
 'area' 'actively' 'fought' 'the' 'disaster' 'in' 'an' 'all' '-' 'out'
 'effort' 'to' 'save' 'themselves' ',' 'now' ',' 'most' 'of' 'the'
 'disaster' 'area' ""'s"" 'primary' 'and' 'middle' 'schools' 'have' 'opened'
 'as' 'usual' '.']"
303	"[33 30 44 16 24 45 16 33 17 23 16 24 24 24 22 40 12 23 18 23 16 17 16 12
 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25']"	"['So' 'I' 'believe' 'that' 'Washington' 'realizes' 'that' 'very' 'open'
 'support' 'for' 'Mr.' 'Vojislav' 'Kostunica' 'could' 'do' 'the' 'man'
 'more' 'harm' 'than' 'good' 'at' 'this' 'moment' '.']"
164	"[10 12 23 46 41 33 41 12 26 33 33 40 16 24 24 41 12 23 16 23  6 10 31 23
 26 33 22 40 23 16 26  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31']"	"['And' 'a' 'thing' 'that' 'came' 'next' 'made' 'the' 'villagers' 'not'
 'only' 'see' 'that' 'Zheng' 'Bing' 'had' 'a' 'spirit' 'of' 'sacrifice'
 ',' 'but' 'her' 'organizing' 'skills' 'also' 'could' 'instill'
 'confidence' 'in' 'people' '.']"
306	[30 44 17 24  7]	['0' '1' '2' '3' '4']	['You' 'are' 'welcome' 'Tony' '.']
14	[30 45 16 11 26 16 12 30 41 33 42 30 12 23 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15']	"['She' 'says' 'that' 'two' 'years' 'before' 'that' 'they' 'were' 'already'
 'calling' 'themselves' 'a' 'peasant' 'association' '.']"
0	[24 24 24  6 24  6 24 23  6 16 26 24 24 10 24 24]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15']	"['Xinhua' 'News' 'Agency' ',' 'Hangzhou' ',' 'September' '2nd' ',' 'by'
 'reporters' 'Haixiong' 'Shen' 'and' 'Xiquan' 'Shen']"
76	"[17 24 33 41 36 12 23 15 42 23  6 42 16 23 16 30  8 30 41 12 26 40 36 12
 23 16 12 23 23 16 11 38 40 16 12 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36']"	"['Zheng' 'Bing' 'thereupon' 'set' 'up' 'a' 'poultry' '-' 'raising'
 'project' ',' 'serving' 'as' 'guarantor' 'for' 'it' ';' 'she' 'helped'
 'the' 'peasants' 'take' 'out' 'a' 'loan' 'from' 'a' 'credit' 'union'
 'for' '150,000' 'to' 'participate' 'in' 'this' 'project' '.']"
74	[42 16 12 17 23  6 12 24 23 17 23 41 38 40 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15']	"['Starting' 'with' 'the' 'technical' 'training' ',' 'the' 'Yongji'
 'peasant' 'cooperative' 'organization' 'began' 'to' 'take' 'shape' '.']"
87	"[12 23 16 12 23 23 41 30 41 33 17  6  6 30 41 38 40 30 16 23  6 30 41 38
 40 36  6 39  6 31 23  6 10 33 40 31 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37']"	"['The' 'head' 'of' 'the' 'credit' 'union' 'said' 'it' 'was' ""n't"" 'OK' ','
 ',' 'he' 'wanted' 'to' 'take' 'me' 'to' 'court' ',' 'he' 'wanted' 'to'
 'shut' 'down' ',' 'uh' ',' 'my' 'store' ',' 'and' 'even' 'confiscate'
 'my' 'home' '.']"
104	[33 16 16 33 33  6 30 33 44 11 23 38 40  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13']	"['So' 'as' 'of' 'right' 'now' ',' 'I' 'still' 'have' '65,000' 'yuan' 'to'
 'pay' '.']"
225	[16 23 23  6 30 41 12 23 23 23  6 16 12 23 16 11 26 16 11 23 16 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22']"	"['For' 'construction' 'capital' ',' 'they' 'adopted' 'the' 'member'
 'shareholding' 'approach' ',' 'with' 'a' 'total' 'of' '300' 'shares' 'at'
 '300' 'yuan' 'per' 'share' '.']"
119	"[24 24 41 16 12 23 38 40 12 23  6 10 30 33 33 41 16 16 16 30 30 22 33 40
 36 16 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27']"	"['Zheng' 'Bing' 'thought' 'of' 'a' 'way' 'to' 'resolve' 'this' 'problem'
 ',' 'but' 'she' 'absolutely' 'never' 'imagined' 'that' 'because' 'of'
 'it' 'she' 'would' 'nearly' 'end' 'up' 'in' 'prison' '.']"
281	[12 17 23 16 23 16 24 10 24 41 43 16 11 23  6 24  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['The' 'whole' 'structure' 'of' 'power' 'in' 'Serbia' 'and' 'Yugoslavia'
 'was' 'based' 'on' 'one' 'man' ',' 'Milosevic' '.']"
296	[39  6 49 45 12 17 23 42 16 12 23 16 12 23 16 12 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['Well' ',' 'how' 'is' 'the' 'international' 'community' 'dealing' 'at'
 'this' 'point' 'with' 'the' 'change' 'of' 'the' 'government' '?']"
247	[33 33 30 33 41 12 23  6 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9']	['Just' 'now' 'you' 'repeatedly' 'used' 'a' 'word' ',' 'quality' '.']
230	[12 26 41 38 40 23 26  6 10 30 33 41  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12']	"['Some' 'people' 'wanted' 'to' 'hold' 'controlling' 'shares' ',' 'but'
 'you' 'strongly' 'disagreed' '.']"
289	"[40 30 40 12 17 23 33 16 17 17 26 16 12 23  6 16 23 16 26 16 24  6 10 12
 45 24  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26']"	"['Let' ""'s"" 'talk' 'a' 'little' 'bit' 'also' 'about' 'other' 'important'
 'policies' 'of' 'the' 'government' ',' 'of' 'importance' 'to' 'people'
 'outside' 'Yugoslavia' ',' 'and' 'that' 'is' 'Kosovo' '.']"
92	[10 16 17 23 41 12 23  6 12 23 23 33 41 24 24 16 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['But' 'because' 'Zheng' 'Bing' 'was' 'the' 'guarantor' ',' 'the' 'credit'
 'union' 'still' 'took' 'Zheng' 'Bing' 'to' 'court' '.']"
43	[16 12 23  6 12 23 16 12 23  6 30 41 33 23 16 12  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['At' 'the' 'time' ',' 'the' 'attendance' 'on' 'that' 'day' ',' 'it' 'was'
 ""n't"" 'something' 'like' 'that' '.']"
223	"[16 24 11  6 12 17 23 43 16 12 26 29 23 16 30 41 43  6 12 24 24 24 24  6
 41 43 36 10 41 16 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31']"	"['In' 'November' '2004' ',' 'the' 'first' 'business' 'operated' 'by' 'the'
 'peasants' ""'"" 'association' 'after' 'it' 'was' 'registered' ',' 'the'
 'Zhaizi' 'Village' 'Paint' 'Plant' ',' 'was' 'set' 'up' 'and' 'went'
 'into' 'production' '.']"
51	[41 13 26 47 22 33 40 16 16 12 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11']	"['Were' 'there' 'people' 'who' 'could' 'not' 'get' 'in' 'to' 'the' 'class'
 '?']"
37	[30 41 33 33 16 23  7]	['0' '1' '2' '3' '4' '5' '6']	['It' 'was' 'kind' 'of' 'by' 'accident' '.']
212	[33 13 45 23 16 12 23 16 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9']	"['So' 'there' ""'s"" 'none' 'of' 'this' 'feeling' 'of' 'dependency' '.']"
251	[12 23 45 33 42 16 24 24  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8']	"['The' 'association' 'is' 'now' 'experimenting' 'in' 'Zhaizi' 'Village'
 '.']"
216	"[42 16 12 24 23  6 12 23 12 24 24 23 23 45 43 28 12 17 23  6 11 17 23 45
 12 23 16 12 23 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30']"	"['According' 'to' 'a' 'Yongji' 'official' ',' 'the' 'reason' 'the'
 'Zhaizi' 'Village' 'peasant' 'association' 'has' 'had' 'such' 'a' 'big'
 'impact' ',' 'one' 'major' 'reason' 'is' 'the' 'paralysis' 'of' 'the'
 'village' 'committee' '.']"
22	"[12 17 23 41 43 33  6 10 30 33 41 12 23 16 12 23 23 16 12 26 16 12 17 26
  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24']"	"['The' 'entire' 'problem' 'was' 'resolved' 'smoothly' ',' 'and' 'it'
 'greatly' 'increased' 'the' 'prestige' 'of' 'the' 'peasant' 'association'
 'in' 'the' 'eyes' 'of' 'the' 'local' 'villagers' '.']"
209	[13 41 12 26  7]	['0' '1' '2' '3' '4']	['There' 'were' 'no' 'clashes' '.']
120	"[42 16 30 16 23 16 12  6 41 33 30 17 16 30 22 33 40 17 38 40 12 23 36 16
 12 23  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26']"	"['Selling' 'to' 'them' 'on' 'credit' 'like' 'that' ',' 'were' ""n't"" 'you'
 'concerned' 'that' 'you' 'would' ""n't"" 'be' 'able' 'to' 'get' 'the'
 'money' 'back' 'in' 'the' 'future' '?']"
207	[39  7]	['0' '1']	['Yes' '.']
297	"[47 45 13 10 47 23 16 23 44 30 42 10 47 45 12 17 23 16 31 42 33 16 12 23
  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24']"	"['Who' 'is' 'there' 'and' 'what' 'kind' 'of' 'assistance' 'are' 'they'
 'offering' 'or' 'what' 'is' 'the' 'symbolic' 'value' 'of' 'their' 'being'
 'there' 'at' 'this' 'point' '?']"
158	[39  6 10 30 41  6 12 26  6 30 44 12 23 16 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15']	"['Oh' '!' 'But' 'I' 'felt' ',' 'the' 'peasants' ',' 'they' 'need' 'this'
 'kind' 'of' 'service' '.']"
206	[10 12 23 45 16 30 30 41 12 23 23 23  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12']	"['But' 'the' 'fact' 'is' 'that' 'you' 'yourselves' 'selected' 'the'
 'village' 'construction' 'council' '.']"
155	[33 16 12 23 30 41 31 23 16 12  6 10 31 23  6 30 41 33 40  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19']"	"['So' 'at' 'the' 'time' 'I' 'told' 'my' 'husband' 'about' 'this' ',' 'and'
 'my' 'husband' ',' 'he' 'did' ""n't"" 'agree' '.']"
233	"[ 6 16 30 41 42  6  6 12 23 23  6 33 33  6 16 12 23  6 30 41  6 30 44 38
 40 23 26  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27']"	"[',' 'as' 'we' 'were' 'organizing' ',' ',' 'the' 'paint' 'plant' ','
 'right' 'away' ',' 'at' 'the' 'meeting' ',' 'they' 'proposed' ',' 'I'
 'want' 'to' 'hold' 'controlling' 'shares' '.']"
96	"[16 12 23 41  6 30 41 12 26 16 30  6 30 41  6 12 23 23 45 33 43 23 16 30
  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24']"	"['After' 'the' 'lawyer' 'came' ',' 'he' 'explained' 'these' 'things' 'to'
 'me' ',' 'he' 'said' ',' 'the' 'credit' 'union' 'has' 'already' 'filed'
 'suit' 'against' 'you' '.']"
1	"[23 24 11 45 43 12 23 23 16 12 23 26 16 24 38 40 17 26  6 10 12 23 26 16
 26 10 26 42 43 43 45 43 11  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33']"	"['Typhoon' 'No.' '17' 'has' 'caused' 'the' 'education' 'system' 'of' 'the'
 'disaster' 'areas' 'of' 'Zhejiang' 'to' 'suffer' 'heavy' 'losses' ','
 'and' 'the' 'number' 'schools' 'with' 'dormitories' 'and' 'facilities'
 'having' 'been' 'damaged' 'has' 'reached' '1500' '.']"
288	"[30 44 33 43 24 26 16 30 44 42 38 40 36 12 26 16 12 26 33 16 16 12 33 17
 23 22 40 43  6 33 33 16 12 17 23  6 10 33 16 12 23 16 12 24 16 24  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37' '38' '39' '40' '41' '42' '43'
 '44' '45' '46']"	"['They' 'have' 'indeed' 'threatened' 'Milosevic' 'allies' 'that' 'they'
 'are' 'going' 'to' 'bring' 'out' 'the' 'people' 'onto' 'the' 'streets'
 'again' 'so' 'that' 'a' 'completely' 'new' 'authority' 'can' 'be'
 'established' ',' 'not' 'just' 'on' 'the' 'federal' 'level' ',' 'but'
 'also' 'on' 'the' 'level' 'of' 'the' 'Republic' 'of' 'Serbia' '.']"
136	"[17 23  6 16 33  6  6 12 23 23  6 17 23  6 12 23  6 33 30 41 42 24 24 45
 42 23 33  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27']"	"['Good' 'grief' '!' 'At' 'first' ',' ',' 'that' 'credit' 'union' ','
 'Good' 'grief' '!' 'That' 'service' ',' 'everywhere' 'they' 'were'
 'saying' 'Zheng' 'Bing' 'is' 'raising' 'capital' 'illegally' '.']"
204	[16  6 33 16 12  6 12 26 44 12 23 16 23 16 12 16 30  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['Because' ',' 'first' 'of' 'all' ',' 'these' 'lanes' 'are' 'a' 'matter'
 'of' 'concern' 'to' 'all' 'of' 'us' '.']"
141	[16 30 12 41  6 30 41 16 30  6 24 24  6 30 44 38 40 31 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19']"	"['After' 'they' 'all' 'came' ',' 'they' 'said' 'to' 'me' ',' 'Zheng'
 'Bing' ',' 'we' 'need' 'to' 'investigate' 'your' 'business' '.']"
231	[10 30 33 41 33 40 38 40 17 26 29 26  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12']	"['And' 'you' 'absolutely' 'did' ""n't"" 'want' 'to' 'hear' 'other' 'people'
 ""'s"" 'opinions' '.']"
232	[39  7]	['0' '1']	['Yes' '.']
302	"[30 22 40 26  6 33 16 17 26  6 16 24 24 24  6 10 12 24 24 45 42 12 17 23
 16 13 45 28 12 23 16 17 23 16 12 26 33 16 24  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37' '38' '39']"	"['He' 'will' 'hold' 'talks' ',' 'probably' 'behind' 'closed' 'doors' ','
 'with' 'President' 'Vojislav' 'Kostunica' ',' 'but' 'the' 'United'
 'States' 'is' 'keeping' 'a' 'low' 'profile' 'because' 'there' 'is'
 'quite' 'a' 'lot' 'of' 'anti-American' 'sentiment' 'on' 'the' 'streets'
 'here' 'in' 'Serbia' '.']"
64	[16 24 16 11  6 12 23 30 44 43 11 38 11 23 26  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15']	"['Since' 'December' 'of' ""'98"" ',' 'each' 'year' 'we' ""'ve"" 'held' 'four'
 'to' 'six' 'training' 'sessions' '.']"
298	[39  6 16 12 23 30 45 12 23  6 47 45 42 38 40 16 24 33  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18']"	"['Well' ',' 'at' 'the' 'moment' 'it' 'is' 'a' 'race' ',' 'who' 'is'
 'going' 'to' 'get' 'to' 'Belgrade' 'first' '.']"
66	[39  6 33 33  7]	['0' '1' '2' '3' '4']	['Um' ',' 'not' 'necessarily' '.']
9	[33 33 12 23 45 33 43 18 16 11 26 16 26 16 12 26  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['So' 'far' 'this' 'city' 'has' 'already' 'received' 'more' 'than'
 '1,000,000' 'yuan' 'in' 'donations' 'of' 'all' 'kinds' '.']"
